	pex3Δ-1	pex3Δ-2	pex3Δ-3	pex3Δmsp1Δ-1	pex3Δmsp1Δ-2	pex3Δmsp1Δ-3	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
YDR381C-A	1795.75	1642.18	1886.32	1990.81	1564.47	2333.34	0.14535126307405666	0.4656529997694732	0.999944336130877	0.331937594944359	0.6577428399060448
YRA1	2860.1	3175.23	2662.22	3412.76	3503.47	3176.74	0.21466979778984605	0.05951137379921488	0.999944336130877	1.225400024083522	2.129862024071223
RPP2B	1291.5	667.544	254.345	692.35	1080.93	348.316	-0.06110706449683314	0.9377835716200824	0.999944336130877	0.02789737963431902	0.06783001667801683
ATO3	322.216	774.872	835.641	472.944	588.834	822.113	-0.036923867939991084	0.9364280349685193	0.999944336130877	0.028525592786315432	0.06931225208748437
EFT2	9026.72	12992.8	13190.3	11245.7	11903.9	10898.8	-0.04839084705255188	0.7941049461821785	0.999944336130877	0.10012209891295641	0.2277688606598331
YDR387C	364.402	339.507	313.012	366.06	338.029	310.767	-0.002932572113212592	0.9763162895586607	0.999944336130877	0.010409464549057399	0.02578891653782111
RVS167	6221.93	5794.81	4346.41	5264.68	6003.82	4609.3	-0.043439473020478965	0.8275890439685482	0.999944336130877	0.08218526737254067	0.18980421454955454
SAC7	1185.17	1125.63	866.679	854.247	1012.65	997.854	-0.14947284299946445	0.3971311455463017	0.999944336130877	0.40106605146930735	0.7734588697067843
UBA2	120.851	120.551	155.106	114.987	124.037	151.961	-0.02023671412277706	0.9138312026139757	0.999944336130877	0.0391340171145034	0.09406792205129236
YDR391C	178.539	173.484	210.635	186.434	197.897	217.307	0.09663741538233166	0.42709062324289	0.999944336130877	0.36947996338603944	0.7209999100177686
SHE9	2374.07	1926.98	2346.45	2332.82	2049.68	2417.94	0.03281622211557677	0.7938513513381398	0.999944336130877	0.10026081159984006	0.22805858134587656
RPT3	1053.53	865.311	968.253	1105.43	914.201	1041.81	0.08459279918381621	0.49888021669268146	0.999944336130877	0.30200371785186936	0.6064590925504942
SXM1	802.406	905.643	880.772	817.19	856.599	706.879	-0.12092877457385684	0.27228460098163393	0.999944336130877	0.5649769194305487	1.038605590164968
UTP5	826.353	777.898	636.214	816.131	1032.4	506.634	0.07202994760648283	0.8259471417062589	0.999944336130877	0.0830477454155024	0.19165327673848553
MRP20	2896.31	3290.55	3641.61	3559.72	2918.93	4355.72	0.1405765111170886	0.5133311693109933	0.999944336130877	0.28960236471100836	0.5849590345107997
PDR15	2114.38	1861.0	2715.03	2023.07	2612.71	1979.52	-0.016288041078648997	0.9423488285151592	0.999944336130877	0.0257883050027259	0.06284007160201997
ADE8	634.854	502.353	636.991	693.703	539.832	805.68	0.20084686766089016	0.3771025532156021	0.999944336130877	0.42354052714438434	0.8104303139208423
SIZ1	251.28	211.81	175.893	282.939	238.256	260.841	0.29145747252890714	0.13260673261034908	0.999944336130877	0.8774344256952259	1.5385988827406727
STE14	283.261	335.32	259.709	289.438	311.561	212.467	-0.11061533005661496	0.5946599938821534	0.999944336130877	0.2257312779470787	0.4713808105804177
DFM1	325.239	507.983	488.68	442.554	533.017	373.56	0.02941521436783747	0.9084279434604527	0.999944336130877	0.04170951524487218	0.10000232420045038
RRP17	1046.31	846.234	503.656	1018.55	789.458	497.355	-0.055754394632424084	0.8965978116950132	0.999944336130877	0.04740232544116187	0.11301891873525431
YDR415C	309.546	257.877	365.778	303.428	304.891	310.561	-0.022311386450242585	0.8859257643417442	0.999944336130877	0.05260266805366642	0.12479190543953167
RPL12B	6324.06	4288.55	5305.46	6336.51	4996.04	5656.02	0.09389899417969147	0.6387198324677381	0.999944336130877	0.1946895986414835	0.4141008765197476
SIP1	495.827	361.817	413.054	459.121	298.267	487.843	-0.029207795234203682	0.9102662111232204	0.999944336130877	0.04083157788298572	0.0979826349346667
DYN2	271.848	255.231	229.842	277.855	378.599	215.072	0.2034009708339359	0.48057962971245816	0.999944336130877	0.3182346415449439	0.6343685172588581
SNX41	461.552	516.394	484.8	437.184	489.994	426.395	-0.11190657687181339	0.2232992187202896	0.999944336130877	0.6511127964362228	1.1757180213041543
RPN9	1271.87	1301.75	1348.25	1100.24	1012.09	922.164	-0.37008574662793564	0.00616356862939679	0.999944336130877	2.2101677639231574	4.312385881434781
TIF35	482.514	505.597	558.87	614.726	525.613	548.304	0.12640887907920417	0.24876733391579137	0.999944336130877	0.6042066482236503	1.1011126186312932
CYM1	9923.23	12042.9	11957.8	10919.3	11924.1	11216.6	0.005775122925407474	0.9549289172266034	0.999944336130877	0.02002895512326387	0.049104145118195136
NPL3	378.98	316.765	375.432	502.726	402.569	349.549	0.2283111330319674	0.28158185199903724	0.999944336130877	0.5503953389853755	1.015321691746646
GPI17	199.672	220.549	247.081	247.193	230.759	238.685	0.10290270405854675	0.3205547734312893	0.999944336130877	0.4940977515850119	0.9250189650799486
PPM1	26.7329	53.0853	22.9114	29.1314	38.5242	20.7571	-0.2165264077310297	0.6809951959159731	0.999944336130877	0.16685595180901025	0.361308080040811
PPZ2	1315.74	1020.44	697.933	1015.31	1052.82	783.091	-0.08969494928493409	0.772799118761836	0.999944336130877	0.11193338182689286	0.2522375822760329
LRS4	133.787	102.742	95.9821	132.876	115.795	121.976	0.15664333236673847	0.3723292126801618	0.999944336130877	0.4290728880145378	0.819491253751583
DOT1	531.869	419.116	362.427	488.284	458.61	435.111	0.07344329369956966	0.6835447289592012	0.999944336130877	0.16523306133818355	0.35818338571723507
