	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
MAK5	12.2731	5.47357	10.3936	7.03954	11.6984	11.8085	8.81924	12.0928	12.1139	8.28735
SUP45	11.3319	6.6772	9.33907	6.38734	10.6555	11.9238	10.1209	11.6905	10.9186	10.9552
ADH5	13.3327	3.35762	7.74745	4.95561	10.3496	9.91999	14.7747	11.6297	10.4979	13.4347
MRPS9	7.4824	15.0443	9.81108	14.8086	9.09088	10.1211	8.06551	9.08949	8.81695	7.66963
ARA1	11.5541	2.78284	9.85543	5.04739	10.232	11.348	13.7405	11.8659	12.1162	11.4576
APD1	11.7457	2.3424	6.09317	3.35955	10.6697	12.3934	13.2081	12.2116	14.2133	13.7631
RPB5	9.11739	6.60397	8.83793	6.91091	8.71226	14.1263	10.5662	11.495	12.544	11.0861
ICS2	9.29164	3.38306	12.7561	6.91018	8.35158	11.6499	13.2744	11.5786	11.9495	10.8551
IFA38	9.641	6.64657	9.04838	8.80332	9.64014	13.0349	9.96272	12.4904	10.3599	10.3727
CDC28	9.1676	7.30694	6.3819	8.56777	9.73032	16.2663	9.61465	9.12684	13.6592	10.1785
TOS1	8.07757	10.673	10.6544	11.2527	9.966	9.55146	8.55448	8.41325	14.3664	8.49081
YSY6	7.1934	8.19612	9.51119	12.1081	15.2941	9.97285	3.83275	12.951	15.5466	5.39396
EXO5	8.99107	15.2877	11.8455	14.7022	8.46643	8.46716	8.04796	7.9791	8.23251	7.9804
ARL1	9.74785	8.79248	5.39782	8.30766	7.50405	16.4614	10.8902	10.3882	11.3782	11.132
SSE2	11.2073	3.96939	12.7615	6.04992	9.93709	11.8821	10.5491	12.1665	13.0178	8.45944
NPL4	8.89017	6.30688	15.1489	9.08488	6.67615	13.1768	9.03537	10.9799	12.6122	8.08869
SEC66	10.0097	6.15581	8.60875	6.99	12.565	11.5198	10.1396	10.7133	13.5342	9.76381
SMY2	10.4608	7.10814	8.88945	6.63956	13.0295	10.2171	8.7203	12.3628	11.783	10.7893
ECM31	8.68877	14.6709	10.4269	14.99	8.0029	9.77664	8.09103	8.52888	8.50881	8.31516
EHT1	10.0103	9.3456	9.15955	8.98932	10.0274	9.68642	10.9632	11.0472	8.82929	11.9418
FZO1	9.22049	13.8465	11.2835	12.4772	8.82966	8.39337	10.0058	8.64586	8.20681	9.09082
RPS6B	11.5128	4.04876	11.0525	5.17985	11.4417	10.9606	12.2959	12.5398	10.9965	9.97167
MBA1	9.93522	12.2792	10.0738	12.9337	12.1356	8.28735	8.87602	9.33354	7.15658	8.98901
GDT1	8.5401	8.65645	5.23564	6.81101	12.4619	14.8937	7.23758	14.3989	8.6137	13.151
RPS9B	13.088	3.87464	9.63826	6.32227	12.8346	10.9035	11.1217	13.136	11.2076	7.87352
RPL21A	11.6659	4.75304	9.63	5.28789	12.4846	9.47512	11.2974	13.9834	10.0983	11.3243
RIM2	9.44661	12.2719	11.0019	11.3799	8.73649	8.67986	9.7665	9.71439	8.2125	10.79
MED8	11.0443	6.48434	9.23715	9.03362	10.9451	10.2218	8.48639	13.1389	11.9844	9.42397
MSI1	10.2254	7.2055	10.2473	7.971	11.1722	9.17558	11.3153	10.4756	11.5508	10.6614
PGI1	11.9698	2.49722	7.95968	4.0534	11.9074	9.98622	14.2309	11.3668	12.4451	13.5835
TAF5	9.20431	7.35961	9.23108	8.12057	13.1872	8.07366	7.78758	13.906	11.6579	11.4721
KTR4	11.3694	5.691	8.60952	6.41508	10.7228	12.1403	10.8961	11.8829	11.2633	11.0096
BEM1	10.9772	5.5012	9.7298	6.79823	12.4347	10.0677	8.49407	14.466	10.9391	10.592
DER1	11.0613	6.3518	10.2794	8.35439	8.82134	12.882	10.1498	10.5649	13.7634	7.77159
LDH1	10.2666	8.54841	9.43796	8.94678	9.66995	10.8737	10.8645	10.411	9.67272	11.3083
KTR3	11.8355	5.24405	8.16781	6.08186	9.79089	11.8223	12.7988	11.3238	10.9207	12.0143
FTH1	12.6929	4.10649	7.96767	4.87948	11.9078	10.3707	12.7933	12.1496	10.0738	13.0583
"DUR1,2"	14.7195	10.5488	7.04101	6.22491	10.5758	7.93969	11.625	11.5108	10.0843	9.73013
